"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R67,R134,R59,R29,R121,R112,R120,R57,R66,R61,R104,R141,R36,R42,R24,R43,R58,R74,R137,R50,R81,R98,R113,R44,R26,R53,R144,R106,R39,R47,R40,R125,R56,R145,R132,R140,R124,R91,R123,R27,R92,R108,R60,R65,R52,R116,R87,R48,R95,R126,R89,R122,R143,R99,R138,R37,R28,R102,R128,R119,R54,R76,R118,R35,R70,R62,R21,R136,R84,R73,R131,R22,R80,R32,R64,R75,R68,R72,R30,R31,R105,R51,R79,R88,R147,R115,R135,R130,R33,R23,R41,R20,R77,R129,R96,R71,R93,R117,R94,R78,R82,R139,R46,R109,R110,R142,R133,R85,R111,R83,R25,R69,R55,R34,R97,R86,R101,R38,R146,R49,R103,R45,R127,R63,R114,R100,R107,R90";"R_0402_1005Metric";128;"300k";;;
2;"C18";"C_0402_1005Metric";1;"4.7u";;;
3;"R150,R151,R17,R149,R154,R18,R153,R19,R16,R152";"R_0402_1005Metric";10;"10k";;;
4;"C16,C17";"C_0402_1005Metric";2;"0.22u";;;
5;"Q7,Q5,Q8,Q6,Q4";"SOT-23";5;"AO3400A";;;
6;"C4,C1,C6";"C_0402_1005Metric";3;"10u";;;
7;"R8,R7";"R_0402_1005Metric";2;"0Ω(NC)";;;
8;"C14,C15,C23,C20,C13,C24,C19,C22,C21";"C_0402_1005Metric";9;"0.1u";;;
9;"C11,C9";"C_0402_1005Metric";2;"1u";;;
10;"R10";"R_0402_1005Metric";1;"6.8k";;;
11;"D5";"D_SMB";1;"US2G";;;
12;"SW2";"SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm";1;"SW_SPDT";;;
13;"D10,D7,D9,D6,D8";"D_SMA_Handsoldering";5;"PESD5V0L5UY";;;
14;"R4";"R_0402_1005Metric";1;"100k";;;
15;"R13,R12,R11,R15,R14";"R_0402_1005Metric";5;"220";;;
16;"U2";"ESP32-S2-MINI-1";1;"ESP32-S3-MINI-1U";;;
17;"C8,C7";"C_0402_1005Metric";2;"100n";;;
18;"SW4,SW3,SW8,SW5,SW6,SW9,SW7";"SW_SPST_TL3342";7;"SW_Push";;;
19;"RSENSE1";"R_0402_1005Metric";1;"0Ω";;;
20;"L2";"L_Coilcraft_MSS1278H-XXX";1;"100uH";;;
21;"D4";"D_SOD-123F";1;"MBR1020VL";;;
22;"R5";"R_0402_1005Metric";1;"22.1k";;;
23;"C10";"CP_Radial_D8.0mm_P3.50mm";1;"4.7u, 250V";;;
24;"U5,U11";"HV507PG-G";2;"HV507";;;
25;"U10,U12,U8,U9,U7";"OPTO_EL357N-G";5;"EL357N-G";;;
26;"FB1,FB4,FB5,FB2,FB3";"L_0805_2012Metric";5;"FerriteBead_Small";;;
27;"U1";"SY8088";1;"SY8088AAC";;;
28;"J1";"USB_B_Lumberg_2411_02_Horizontal";1;"USB_B";;;
29;"D2";"D_0201_0603Metric";1;"D";;;
30;"C12";"C_Rect_L13.0mm_W6.5mm_P7.50mm_P10.00mm";1;"100n, 250V";;;
31;"R9";"R_0805_2012Metric";1;"1M";;;
32;"Q3";"SOT-23";1;"SS8050";;;
33;"L1";"L_Coilcraft_MSS1278H-XXX";1;"2.2uH";;;
34;"R3,R1,R155,R156,R2,R157";"R_0402_1005Metric";6;"1k";;;
35;"C5";"C_0402_1005Metric";1;"22p";;;
36;"Q2";"SOT-363_SC-70-6";1;"UMH3N";;;
37;"R148";"R_0402_1005Metric";1;"510k";;;
38;"C3";"C_0402_1005Metric";1;"100u";;;
39;"Q1";"TO-252-2";1;"TK560P60Y";;;
40;"R6";"R_0402_1005Metric";1;"1M";;;
41;"U4";"SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm";1;"CH340K";;;
42;"F1";"Fuse_0402_1005Metric";1;"Fuse";;;
43;"U3";"SO-8_3.9x4.9mm_P1.27mm";1;"MAX1771xSA";;;
44;"DS1";"OLED-128O064D";1;"OLED-128O064D";;;
45;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
46;"J2";"SO-DIMM";1;"SODIMM-200";;;
47;"RV1";"Potentiometer_Bourns_3296W_Vertical";1;"500K";;;
